,interest_name,audience
6002925254521,Cashew,21961230
6002967519574,Frying,74330750
6003695266490,Lemonade,22667000
6003174943249,Pea,21406420
6003444506671,Steam,14931070
6003381728404,Cuban cuisine,7835720
6003321782843,Beech,6572330
6003202181013,Fruits Basket,850830
6003342784205,Break,16253210
6003460715225,Taverna,3729740
6003162840122,Fusion cuisine,8503240
6003655454878,Doritos,12560220
6003233286875,Cod,99545270
6003354245527,Burn (energy drink),4819320
6003137709861,Eucalyptus,17195020
6003154393939,Cookies &,269340
6003240921499,Sirloin steak,6601310
6003336996751,Carlsberg Group,8741680
6002994326573,Mahi-mahi,1645660
6002989682968,Cuisine of the United States,18753640
6003148651552,Ladies' night,3088250
6005808137010,Cake pop,3023670
6003358429600,Melon,23182160
6003597291673,Mimosa (cocktail),7409970
6003405811991,Jasmine,41472040
6003336924959,Paprika,8761980
6003423220519,Grapefruit,20122760
6003110533472,Green tea,59319010
6003170214485,Pudding,21363350
6002919249755,Piña colada,5938890
6003381875143,Pesto,8195130
6002898910762,Lebanese cuisine,12817610
6003379162805,Gravy,17734800
6003738497504,Poppy,15057830
6003287925111,Veal,6928820
6003116090542,Filo,26617630
6003260024286,TRES,1810330
6003655076878,Broth,15414940
6003402200839,Marshmallow,17073330
6003321183514,Veuve Clicquot,1209460
6003011534197,Bottling line,1875760
6003381152805,Kombucha,5155980
6003266104909,Argan oil,17153970
6003716329383,Punch (drink),3604850
6003584374438,Single malt Scotch,1683390
6003348047381,Sorbet,9206110
6003267632736,French wine,2327730
6003048892616,Twix,3841040
6003402079719,Cooking oil,35613490
6003130421417,Delicious,8603090
6003227883299,Chilean cuisine,4844950
6003741676691,Egg white,4730450
6003186575255,Leaf vegetable,12566110
6003029598455,Garage sale,9822620
6003202332012,Gimbal,5838070
6003468216087,SPAM,427970
6003238899901,Pear,21029700
6003077174939,Kitchenware,34059297
6003321943297,Arab cuisine,20108600
6003362050060,Cotton candy,8784740
6003673796262,Millet,7013540
6003409908877,Sardine,6680310
6003413479489,Mussel,9606660
6003706238946,Caribbean cuisine,2042510
6004113770609,Mate (beverage),5245550
6003677568318,Fried chicken,59406110
6003445848131,Fruit tree,15049620
6003345765559,Watermill,9277830
6003211389667,Syrup,21243650
6003641340907,Cinnamon,32885810
6003195162498,Cabbage,21334880
6002972052194,Bagel,10121330
6004108127209,Raspberry,20683600
6003381338841,Play-Doh,5435410
6003350282439,Lager,11706400
6003260290157,Pilsner,13352320
6003101905629,Frito-Lay,10050070
6003350072199,Tempura,6295510
6003526109494,Cork (material),4888230
6003064554470,Hazel,14957450
6003059638244,Nougat,5128250
6003132703700,Marmalade,4661960
