,id,audience
Rockstar (drink),6003063290081,10573110
Argan oil,6003266104909,17153970
Paprika,6003336924959,8761980
Sweet and sour,6003782196158,5378890
Parfait,6002940692562,4380300
Meat chop,6003402653747,7910250
Electric stove,6003667517620,15906560
Tea party,6003421411431,2967530
Cranberry,6003067332807,10145770
Small appliance,6003719831713,10462970
Break (work),6003436655312,7725150
Sprouting,6003284889159,8242560
Parmigiano-Reggiano,6003022236356,16004510
Spring roll,6003198375801,5781310
Bacardi,6003461073764,7730240
Corn tortilla,6003525963170,17666300
Single-serve coffee container,6004601055303,4388280
Sangria,6003352481319,5433860
French toast,6003526863103,3471440
Argania,6003682410690,11097920
Cheese sandwich,6003038318729,4637110
Tomato sauce,6003116915826,11211790
Meatball,6003195103498,23856760
Jollibee,6003291739579,21544210
Hit,6002935385962,927890
Cocoa solids,6003470530747,6597140
Stout,6003484989057,2329990
Acorn,6003421539206,6176670
Deep frying,6003322546114,13035450
British cuisine,6003472488487,8751550
Tablespoon,6003251787801,27363090
European cuisine,6003109097893,6881730
Zucchini,6003280213610,9991130
Commercial fishing,6003113867992,8855600
Bell pepper,6003650097913,14445730
Kebab,6003374509781,52328820
Eucalyptus,6003137709861,17195020
Trenza,6016519316161,14372410
Pine nut,6003280856901,3452000
Chocolate milk,6003902159466,3983080
Break,6003342784205,16253210
Chocolate chip,6003784913678,9713660
Slush (beverage),6003248927667,3440730
Salt (chemistry),6003154019949,28070670
Herbal tea,6003494546227,20618820
Kefir,6003340116196,4668950
Prunus armeniaca,6018855930323,14143290
Sprinkles,6004121108389,55385750
Jasmine,6003405811991,41472040
Macaroni and cheese,6003256283667,8811470
Orange juice,6003584469238,9462940
Cork (material),6003526109494,4888230
Main course,6003432930112,5302190
Kitchenette,6003279047580,6894530
Caviar,6003393593683,15626440
Pear,6003238899901,21029700
Baozi,6003404384564,23114030
Kombucha,6003381152805,5155980
Manna,6002957927120,7923930
Ciabatta,6003461178425,1437520
Drinking straw,6003215274138,1645910
Farmers' market,6003380299181,25105290
Crème caramel,6004042828589,6151040
T-bone steak,6003290637841,4619660
Apricot,6003089702815,16732440
Lavandula,6003644775438,11508900
Animal print,6003051641556,4023120
Carlsberg Group,6003336996751,8741680
Fish and chips,6003280133023,9162730
Capsicum,6003372973375,20697720
Fusion cuisine,6003162840122,8503240
Cat café,6003076214929,3713640
Yorkie,6003251852793,917060
Moringa oleifera,6003835407360,10002280
Breakfast cereal,6003137187750,8575420
Hotspot (Wi-Fi),6003018796419,12469890
Lactic acid,6002839107479,6396320
Milky Way (chocolate bar),6003505177669,2946470
Rye,6003391276289,6774690
Ferrero Rocher,6003870657760,7316550
Turnip,6003396826223,0
Liqueur,6003379890963,25656750
Kale,6003257280969,12346260
Exhaust system,6003650493513,17873000
Lasagne,6004418542366,15413290
Nelumbo nucifera,6003130652836,9217160
Teaspoon,6003347217274,20187610
Putty,6002955399250,1940040
Mayonnaise,6003274414371,24075260
Food grain,6003117862268,9683880
Dusk,6003102525040,2663440
Margarine,6003661475718,14504830
Asparagus,6003144628440,8953000
Mandarin orange,6003205399612,7875170
Burn (energy drink),6003354245527,4819320
Hors d'oeuvre,6003476756256,25596370
Tapas,6002968497092,14904270
Cookies and Cream,6003117651868,4410220
À la carte,6003717884146,8468500
Red meat,6003142790061,6771600
Soufflé,6003116001592,2266980
Beetroot,6002971087994,16596990
Custard,6003358593004,24671160
Junk food,6003352455200,5733750
Torte,6003285475725,7454920
Mediterranean diet,6003340299196,2076490
Tea culture,6003136553300,1537460
Finger food,6003124435258,10477730
Baking powder,6003174498414,15407480
Punch (drink),6003716329383,3604850
Chrysanthemum,6003283372854,7380970
Sherry,6003382406744,14402600
Earl Grey tea,6002877875772,1036650
Mimosa (cocktail),6003597291673,7409970
Pilaf,6003495275965,5329950
Gnocchi,6004115435789,4010030
Açaí palm,6003148277526,18606820
Churro,6003149051436,12520090
Stuffing,6003792020904,11422910
Fruits Basket,6003202181013,850830
Royal jelly,6003175180635,6492060
Dairy Queen,6003534979873,12551830
Tennessee whiskey,6003346540330,14926410
Delicatessen,6003430382370,10918860
Steeping,6003316136163,0
Turkish cuisine,6002986713168,20263740
Garlic bread,6003012230597,6653910
Nandi Awards,6003154026665,32139610
Household goods,6003468061203,18244510
Strained yogurt,6004038337183,4202430
Llama,6003258270101,13185450
Dr Pepper,6003515377831,6220060
Reuse,6004037534409,11186210
Pesto,6003381875143,8195130
Coconut milk,6003074488739,18900310
Guava,6003147923326,16347390
Gummi candy,6003420167554,15525630
Lentil,6003198705401,7636070
Schnitzel,6003901964866,2281180
Full breakfast,6002949123574,10181642
Nozzle,6003290066651,9187990
Honeysuckle,6003716863583,2852820
Himalayan salt,6003287661800,5050700
Quinoa,6003537575473,8824460
Teriyaki,6003143942528,8301180
Leaf vegetable,6003186575255,12566110
Temporary tattoo,6003979430748,3744140
Smirnoff,6002997727982,10579420
UFC 26,6003403479377,65770
Ladies' night,6003148651552,3088250
Bolognese sauce,6002988075194,2403710
Pomelo,6003133337414,9794540
Tiki bar,6003276627151,2086600
Marmalade,6003132703700,4661960
Dulce de leche,6003378820204,9840990
Ranch,6003224369034,43513290
Sundae,6003374730241,9984850
southern food,6003246503757,8407820
Pork steak,6003106417429,3851770
Sriracha sauce,6004160437624,4810050
Captan,6003352355251,1238600
Milo (drink),6003349650288,10155260
Švyturys,6014880631009,12420720
Jack Daniel's Tennessee Whiskey,6003429737340,9567110
Ficus,6002986413782,6626500
Chestnut,6003969340548,5432540
Rosemary,6003336950256,9467540
S'more,6003534921798,3529730
Ripening,6003247903875,4671200
Sous-vide,6003198897167,1588560
Macadamia,6003329465448,7337550
Turkish coffee,6003302163828,5700420
Poppy,6003738497504,15057830
Mountain Dew,6003522559370,8553420
Cashew,6002925254521,21961230
Indonesian cuisine,6003180805733,22512780
Flank steak,6003148214126,3062040
Saffron,6003344233527,16832220
Prosciutto,6003142117847,2260010
Comfort food,6003110353845,10049860
Magnolia champaca,6004158613678,0
Chili con carne,6002893639422,4008080
Butterfat,6002891069422,1173200
Adansonia,6003362102460,0
Juniper,6003568943518,6104330
Condensed milk,6003157804408,8711360
Love to Eat,6003538668663,0
Scallion,6004113776224,5047510
Natural dye,6003196086098,2097990
Taiwanese cuisine,6003423341406,7152840
Masala chai,6003076089539,3944230
Jerky,6004743750480,8524500
Fajita,6003240210010,6928190
Ben & Jerry's,6003401844364,9293780
Fudge,6003133355700,10648550
starbucks mexico,6003137621566,8315990
Potato salad,6003241327675,4530480
Coconut water,6004042988389,5559000
Quesadilla,6003286924141,10149190
Blended whiskey,6002898314562,3867160
Palm oil,6003285849127,15009690
Fender Jazz Bass,6003349594005,985610
Spice mix,6004160824895,29042290
Moonshine,6003341191023,4540970
Ganache,6003144034366,6261520
Brisket,6003736323691,6045130
Guacamole,6003012392397,9468010
Freeze-drying,6003290420456,2241190
Fruit curd,6003106789234,14510970
Fruit tree,6003445848131,15049620
Garage sale,6003029598455,9822620
Margarita,6003218970958,4973430
Chard,6002991953194,0
Oil tanker,6003971318948,2574460
Populus,6003186590455,0
South Asian cuisine,6003301835828,4435900
HelloFresh,6012367618363,5858310
Phaseolus vulgaris,6003181627014,7784480
Peruvian cuisine,6003127976124,31959640
Calendula,6003339210196,3556350
Solanum,6003147397068,0
Angelica,6003368851175,5622530
French wine,6003267632736,2327730
Pakistani cuisine,6003584476838,12014120
Cognac,6003687589307,6743870
Fruit salad,6003482987798,5560590
Chipotle,6003116072068,5142970
Perch,6003135243408,4310290
Jalapeño,6002984975419,10303290
Hennessy,6003450472986,6994100
Béchamel sauce,6003313669980,4586160
Grille,6003397778803,17551450
Green bean,6003012429597,8265960
Cocoa butter,6003142270366,6959010
Lutjanidae,6003681395690,0
Cantina,6003012156597,25960290
Mashed potato,6002987108794,8763670
Rose water,6003213235247,6296590
Canapé,6003328210980,3243970
Whataburger,6002934270459,3192430
Trattoria,6003320077418,9647590
Pub crawl,6003478697687,971590
Siesta,6003106877390,1899740
Languages of Iraq,6003533346064,45589450
Pita,6003214678933,5964920
bingo,6003542759827,2793720
Dessert wine,6003383387177,10964010
Pepperoni,6003135804408,12597320
Tandoor,6003593745887,6567910
Malus,6003349497557,3847810
Chorizo,6002960316720,16952370
Big Apple,6002868778710,1353600
Nutmeg,6003708507960,4319160
Crayfish,6003129881528,2993590
Artichoke,6003648322746,2375880
Kashk,6003137721176,576020
Cabernet Sauvignon,6003237216610,6552140
Wine bar,6003271398593,2763160
American bison,6003651047490,2612600
Smoked salmon,6003303698508,2362330
Toffee,6003299669011,6039160
Rib eye steak,6003115847792,9952550
Brioche,6003301842028,5706510
Register (sociolinguistics),6003136515808,4120410
Common fig,6002868040622,6144630
Oregano,6003081467301,8716060
Panini (sandwich),6003353201193,4270020
Date palm,6002992918194,4282020
Malaysian cuisine,6003047808444,17065180
Hummus,6003583347473,10289090
Caffè,6003164413758,2345370
Bubble gum,6003113872500,2832810
Clove,6003788962478,15097260
Almond milk,6003283346254,5209420
Dessert bar,6003243344685,2955190
African cuisine,6002983172019,4289320
Delicious,6003130421417,8603090
Pecan,6003159301275,10832940
Animal product,6003306141908,4790970
Plant milk,6003602250903,3972780
